ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie. Reglement UE N 1169/2011 (kJ/100g);Eau (g/100g);Proteines (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG satures (g/100g);AG monoinsatures (g/100g);AG polyinsatures (g/100g);AG 4:0. butyrique (g/100g);AG 6:0. caproique (g/100g);AG 8:0. caprylique (g/100g);AG 10:0. caprique (g/100g);AG 12:0. laurique (g/100g);AG 14:0. myristique (g/100g);AG 16:0. palmitique (g/100g);AG 18:0. stearique (g/100g);AG 18:1 9c (n09). oleique (g/100g);AG 18:2 9c.12c (n06). linoleique (g/100g);AG 18:3 c9.c12.c15 (n03). alpha0linolenique (g/100g);AG 20:4 5c.8c.11c.14c (n06). arachidonique (g/100g);AG 20:5 5c.8c.11c.14c.17c (n03) EPA (g/100g);AG 22:6 4c.7c.10c.13c.16c.19c (n03) DHA (g/100g);Cholesterol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (g/100g);Magnesium (mg/100g);Manganese (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Selenium (g/100g);Sodium (mg/100g);Zinc (mg/100g);Retinol (g/100g);Beta0Carotene (g/100g);Vitamine D (g/100g);Vitamine E (mg/100g);Vitamine K1 (g/100g);Vitamine K2 (g/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothenique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (g/100g);Vitamine B12 (g/100g)
10;Volailles;36101;Caille. viande. crue;532;70;22.5;0.5;3.81;0.5;0;0;0;1.32;0;0;1.21;1.28;1.17;0;0;0;0;0.028;0.028;0.72;0.43;0;0;0;0;0.01;0;70;0.12;14;0;0.59;4.51;1.5;25;0.019;307;237;0;49;2.7;17;0;0;0;0;0;7.2;0.28;0.29;8.2;0.79;0.53;7;0.47
10;Volailles;36102;Caille. viande et peau. cuite;860;60.5;26.8;0;10.9;0;0;0;0;1.49;0;0;3.06;4.25;3.03;0;0;0;0;0.046;0.09;2.34;0.58;4.25;2.71;0.23;0.078;0.011;0;86;0.13;15;0;0.59;4.43;3;22;0;279;216;0;52;3.1;70;0;0.2;0.7;4.2;0;2.3;0.22;0.3;7.92;0;0.62;6;0.36
10;Volailles;36200;Canard. viande et peau. roti/cuit au four;1370;51.8;19;0;28.4;0;0;0;0;0.82;0;0;9.67;12.9;3.65;0;0;0;0;0.04;0.17;6.8;2.43;0;0;0;0;0;0;84;0.15;11;0;0.23;2.7;0;16;0.019;156;204;0;59;1.86;63;0;0.1;0.7;5.1;0;0;0.17;0.27;4.83;1.1;0.18;6;0.3
10;Volailles;36201;Canard. viande. crue;527;72.7;19.4;0;5.33;0;0;0;0;1.16;0;0;1.94;2.33;0.76;0;0;0;0;0.026;0.017;0.93;0.55;0.97;0.39;0.079;0;0;0;77;0.19;9;0;0.2;2.63;1.2;20.5;0.019;199;277;24;77.7;1.47;22;0;0.55;0.7;2.35;3.6;5.85;0.38;0.42;4.83;1.6;0.41;36.5;0.49
10;Volailles;36202;Canard. viande. rotie/cuite au four;811;63.1;23.3;0;11.2;0;0;0;0;1.28;0;0;3.48;3.86;1.49;0;0;0;0;0.027;0.053;2.35;0.9;3.66;0.86;0.049;0.074;0;0;119;0.39;6.78;243;0.35;3.36;4;35.8;0.036;203;392;13.3;154;1.83;23;0;0.1;0.7;3.8;0;0;0.26;0.47;11.1;1.5;0.71;10;2.9
10;Volailles;36203;Canard. cuisse avec peau. sans os. crue;433;72.3;18.7;1E-14;3.1;0;0;0;0;0.99;0;0;1.05;1.47;0.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.26;0;0;0;0;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Volailles;36204;Canard. viande et peau. cru;1410;48.5;14;2.75;30.3;0.2;0;0;0;0.69;0;0;8.28;16;4.35;0;0;0;0;0.032;0.16;6.07;2.03;16;4.01;0.33;0;0;0;76;0.17;9;0;0.19;1.27;1.2;18.5;0.017;139;253;24;71;1.36;50.5;0;0.85;0.7;5.5;0;2.8;0.2;0.21;3.93;0.95;0.19;30.5;0.25
10;Volailles;36205;Canard. magret. grille/poele;653;61.9;26.7;1E-14;5.38;0;0;0;0;1.58;0;0;1.99;2.13;0.96;0.005;0.005;0.005;0.005;0.005;0.021;1.07;0.9;2.01;0.68;0.017;0.15;0;0;106;1.09;5;0;0.5;4.8;15;31.2;0.1;273;390;34;435;2.1;16;30;0.93;0.46;0;0;3.5;0.38;0.88;13.5;3.4;0.98;20;3.3
10;Volailles;36206;Canard. magret. cru;1410;53.2;17.9;0.85;29.4;0.7;0;0;0;1.24;0;0;8.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.21;5;0;0;0;0;0;0;0;0;0;54.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Volailles;36300;Dinde. viande et peau. crue;557;73.1;23.4;0;4.31;0;0;0;0;1.09;0;0;1.15;1.46;1.46;0;0;0;0.0029;0.015;0.038;0.79;0.31;1.17;1;0.058;0.24;0.036;0.12;68;0.25;10.5;0;0.11;0.83;1.5;23;0.012;167;227;24;103;1.57;9.5;0;0.3;0.3;0;0;0;0.056;0.17;5.86;0.78;0.5;8.5;1.11
