ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie. Reglement UE N 1169/2011 (kJ/100g);Eau (g/100g);Proteines (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG satures (g/100g);AG monoinsatures (g/100g);AG polyinsatures (g/100g);AG 4:0. butyrique (g/100g);AG 6:0. caproique (g/100g);AG 8:0. caprylique (g/100g);AG 10:0. caprique (g/100g);AG 12:0. laurique (g/100g);AG 14:0. myristique (g/100g);AG 16:0. palmitique (g/100g);AG 18:0. stearique (g/100g);AG 18:1 9c (n09). oleique (g/100g);AG 18:2 9c.12c (n06). linoleique (g/100g);AG 18:3 c9.c12.c15 (n03). alpha0linolenique (g/100g);AG 20:4 5c.8c.11c.14c (n06). arachidonique (g/100g);AG 20:5 5c.8c.11c.14c.17c (n03) EPA (g/100g);AG 22:6 4c.7c.10c.13c.16c.19c (n03) DHA (g/100g);Cholesterol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (g/100g);Magnesium (mg/100g);Manganese (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Selenium (g/100g);Sodium (mg/100g);Zinc (mg/100g);Retinol (g/100g);Beta0Carotene (g/100g);Vitamine D (g/100g);Vitamine E (mg/100g);Vitamine K1 (g/100g);Vitamine K2 (g/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothenique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (g/100g);Vitamine B12 (g/100g)
1.1;Farines et amidons;4090;Fecule de pomme de terre;1480;12.7;0;86.3;0.2;0;0;0.55;0;0.25;0;0;0.039;0.0095;0.11;0;0;0;0;0;0;0.032;0.006;0.006;0.048;0.064;0;0;0;0;0.0094;27.5;0;0.1;0.84;0.49;6;0.1;35.6;33.5;0.4;3.75;0.16;0;0;0;0;0;0;0;0.0055;0.005;0.12;0;0.01;82;0
1.1;Farines et amidons;9311;Flocon d'avoine;1550;10.1;13.3;57.9;6.51;0.97;56.9;10.2;0;2.04;0;0;1.13;2.08;2.5;0;0;0;0;0.02;0.01;0.94;0.082;2.08;2.4;0.096;0;0;0;0;0.014;84.3;0;0.3;4.05;0.5;148;4.72;422;377;3.05;5.68;3.33;0;0;0;0.59;2;0;0;0.43;0.14;0.96;1.31;0.12;39.6;0
1.1;Farines et amidons;9410;Farine de ble tendre ou froment T110;1490;9.96;10.3;70.6;1.13;1.13;69.4;7;0;1.03;0;0;0.17;0.13;0.51;0;0;0;0;0;0.0015;0.17;0.0047;0.13;0.5;0.014;0.0016;0;0;0;0.0065;29;0;0.3;1.7;2.7;64.6;1.9;287;337;0.1;2.61;1.8;0;5;0;0.79;16;0;0.5;0.41;0.083;2.45;0.6;0.17;37.3;0
1.1;Farines et amidons;9415;Farine de ble tendre ou froment T150;1430;10.7;11.4;62.5;1.52;1.77;56.9;12.5;0;1.31;0;0;0.22;0.17;0;0;0;0;0;0;0.0016;0.2;0.014;0.17;0.61;0.04;0;0;0;0;0.035;31.9;0;0.35;2.7;0;85.1;2.7;323;407;0;14;2.5;0;0;0;1.04;0;0;0.5;0.34;0.11;3.48;1.02;0.26;52.4;0
1.1;Farines et amidons;9435;Farine de ble tendre ou froment T65;1460;13.2;12.6;68.7;0.85;1.68;0;3.9;0;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03;25.3;0;0.46;1.31;0;30.4;0.8;124;176;4.4;6.56;0.8;0;0;0;0.5;0;0;0;0.19;0.05;1.46;0.5;0.08;18.3;0
1.1;Farines et amidons;9436;Farine de ble tendre ou froment T55 (pour pains);1470;13.6;10.4;71.5;1.15;2.71;0;2.93;0;0.47;0;0;0.23;0.087;0.45;0;0;0;0;0;0.001;0.22;0.01;0;0;0;0;0;0;0;0.0049;19.5;0;0.18;0.9;0;24.9;0.7;102;129;39.7;1.97;0.78;0;1;0;0.4;0.3;0;0;0.12;0.05;1.16;0.49;0.054;24.7;0
1.1;Farines et amidons;9437;Farine de ble tendre ou froment avec levure incorporee;1490;0;9.12;74;1;2.5;0;2.5;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;Farines et amidons;9440;Farine de ble tendre ou froment T45 (pour patisserie);1490;11.3;9.06;73.8;0.82;2.41;69.3;4.6;0;0.48;0;0;0.13;0.084;0.33;0;0;0;0;0.00055;0.0011;0.12;0.008;0.072;0.28;0.012;0.002;0;0;0;0.098;17.4;61;0.13;1.18;5;25;0.51;117;155;2.76;39;0.76;0;0;0;0.43;0;0;0;0.12;0.031;0.89;0.84;0.06;18;0
1.1;Farines et amidons;9445;Farine de ble tendre ou froment T80;1510;10.7;9.95;73.2;1.18;1.77;70.6;4.2;0;0.74;0;0;0.17;0.11;0;0;0;0;0;0;0.0016;0.15;0.0087;0.11;0.45;0.026;0;0;0;0;0;25.4;0;0.2;1.5;0;45.6;1.2;153;206;0;2.72;1.3;0;0;0;0.79;0;0;0.5;0.26;0.06;1.5;0.5;0.13;53.8;0
1.1;Farines et amidons;9510;Amidon de mais ou fecule de mais;1550;8.73;0.43;89.6;0.25;0;87;0.87;0;0.09;0;0;0.009;0.016;0.025;0;0;0;0;0;0;0.0081;0.0009;0;0;0;0;0;0;0;0.019;6;0;0.05;0.38;0.6;3.5;0.53;56;4;2.8;10.2;0.28;0;0;0;0;0;0;0;0;0.008;0.03;0;0.005;1;0
1.1;Farines et amidons;9520;Farine de riz;1510;11.4;6.87;77.1;1.7;0.49;0;2.15;0;0.79;0;0;0.38;0.52;0.57;0;0;0;0;0.003;0.0095;0.33;0.033;0.32;0.44;0.012;0;0;0;0;0.014;7.74;0;0.19;1.13;0.85;54.8;1.6;157;150;3.1;5.4;1.66;0;0;0;0.66;0;0;0;0.19;0.04;3.18;0.85;0.39;10;0
1.1;Farines et amidons;9530;Farine de seigle T170;1320;10.8;15.9;44.8;2.22;2.31;0;23.8;0;2.5;0;0;0.27;0.28;1.05;0;0;0;0;0;0.003;0.26;0.009;0;0;0;0;0;0;0;0.005;37;0;0.56;4.97;4.6;160;6.06;499;717;0;2;5.04;0;7;0;2.73;5.9;0;0;0.32;0.25;4.27;1.46;0.44;33;0
1.1;Farines et amidons;9532;Farine de seigle T85;1460;12;8.12;70.7;1.37;0.93;0;7.15;0;0.69;0;0;0.15;0.16;0.58;0;0;0;0;0;0.001;0.14;0.005;0;0;0;0;0;0;0;0.0051;15.5;0;0.19;1;0;29;0.93;125;214;0;2.05;1.11;0;0;0;0.56;5.9;0;0;0.28;0.07;0.8;0.52;0.23;23;0
1.1;Farines et amidons;9533;Farine de seigle T130;1450;9.9;7.24;70.9;1.12;1.59;65.8;9.5;0;1.38;0;0;0.22;0.19;0.7;0;0;0;0;0.0013;0.0023;0.2;0.0068;0.19;0.65;0.044;0;0;0;0;0.0091;23.8;0;0.3;1.8;0;64.6;1.8;216;356;2.5;3.63;1.9;0;0;0;1.01;5.9;0;0.5;0.3;0.072;0.77;0.45;0.2;50.3;0
1.1;Farines et amidons;9540;Farine de sarrasin;1470;12.1;11.5;68.4;2.19;0.03;68.4;4.2;0;1.65;0;0;0.33;0.51;0.63;0.005;0.005;0.014;0.0081;0.0036;0.0068;0.27;0.023;0.51;0.61;0.024;0;0;0.00061;0;0.042;23.8;0;0.5;2.5;0;157;1.3;264;389;4.9;16.8;2.3;0;0;0;0.32;7;0;0.5;0.38;0.15;4.75;1.45;0.46;66.8;0
1.1;Farines et amidons;9545;Farine de mais;1530;10.5;6.23;78.1;2.1;0.64;0;2.55;0;0.53;0;0;0.27;0.48;0.94;0;0;0;0;0.001;0.005;0.23;0.037;0.48;0.91;0.032;0;0;0;0;0.0025;4;0;0.14;1.01;0.6;32.5;0.056;79.5;105;3.2;1;0.44;0;97;0;0.63;0.3;0;0;0.2;0.084;4.18;0.052;0.21;34;0
1.1;Farines et amidons;9550;Farine d'orge;1430;13.1;9.91;64.5;2.3;0.8;56;8.85;0;1.39;0;0;0.43;0.23;1.07;0;0;0;0;0.004;0.0085;0.4;0.014;0.23;0.97;0.1;0;0;0;0;0.0081;27.5;0;0.45;3.59;5;92.5;1.32;298;335;1;3.25;2.4;0;0;0;0.41;2.2;0;0;0.35;0.11;5.98;0.15;0.36;8;0
1.1;Farines et amidons;9555;Farine de millet;1590;8.67;11.5;70.8;4.25;1.64;69.2;3.5;0;1.21;0;0;0.54;0.92;2.62;0.007;0.001;0;0.008;0.001;0.003;0.39;0.071;0.9;2.55;0.044;0;0;0;0;0.01;14;0;0.54;3.94;0;119;1;285;224;0;4;2.63;0;0;0;0.11;0.8;0;0;0.41;0.073;6.02;1.27;0.37;42;0
1.1;Farines et amidons;9580;Farine de pois chiche;1510;10.3;22.4;47;6.69;10.9;0;10.8;0;2.82;0;0;0.69;1.5;2.98;0;0;0;0;0;0.01;0.56;0.094;0;0;0;0;0;0;0;0.16;45;0;0.91;4.86;0;166;1.6;318;846;0;64;2.81;0;25;0;0.83;9.1;0;0;0.49;0.11;1.76;0.61;0.49;437;0
1.1;Farines et amidons;9621;Son de ble;1160;9.05;15.4;23.6;4.35;2.46;20.9;42;0;5.6;0;0;0.84;0.67;2.49;0;0;0;0;0.002;0.007;0.68;0.04;0.66;2.32;0.16;0.0081;0;0;0;0.033;73.9;0;1.05;14.8;2.4;546;13.3;1030;1260;6.8;13.3;7.49;0;6;0;1.55;42.5;0;0;0.71;0.47;21.6;2.29;1.34;110;0
1.1;Farines et amidons;9640;Son d'avoine;1510;7.53;15.8;51;6.48;2.23;0;16.7;0;2.55;0;0;1.16;2.38;2.77;0;0;0;0;0.024;0.015;1.06;0.067;0;0;0;0;0;0;0;0.016;62.6;0;0.4;5.41;0;235;5.63;627;566;45.2;6.5;3.11;0;0;0;1.01;3.2;0;0;1.17;0.22;0.93;1.49;0.17;52;0
1.1;Farines et amidons;9641;Son de mais;921;4.71;8.36;6.65;0.92;0;0;79;0;0.36;0;0;0.13;0.24;0.42;0;0;0;0;0;0;0.11;0.015;0;0;0;0;0;0;0;0.018;42;0;0.25;2.79;0;64;0.14;72;44;0;7;1.56;0;32;0;0.42;0.3;0;0;0.01;0.1;2.74;0.64;0.15;4;0
1.1;Farines et amidons;9643;Son de riz;1650;6.12;13.9;28.1;20.9;0.9;0;21;0;9.99;0;0;4.17;7.55;7.46;0;0;0;0;0.019;0.078;3.56;0.37;0;0;0;0;0;0;0;0.013;57;0;0.73;18.5;0;781;14.2;1680;1490;15.6;5;6.04;0;0;0;4.92;1.9;0;0;2.75;0.28;34;7.39;4.07;63;0
1.1;Farines et amidons;20900;Farine de soja;1790;5.39;39.7;21;16.2;12.3;5.25;12.4;0.89;5.33;0;0;2.28;3.74;9.03;0;0;0;0;0.019;0.034;1.58;0.61;3.74;7.91;1.12;0;0;0;0;0.02;197;0;2.23;5.97;0.5;287;2.56;587;2130;11;8;4.25;0;40;0;10.9;113;0;0;0.77;0.44;2.65;1.76;0.63;557;0
1.1;Farines et amidons;96781;Amidon de riz;1460;14.2;0.6;85;0;0;0;1E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;Riz et graines crus;9001;epeautre. cru;1450;11;14.6;59.5;2.43;6.68;52.8;10.7;0;1.78;0;0;0.41;0.45;1.26;0;0;0;0;0;0;0.37;0.024;0;0;0.065;0;0;0;0;0.02;27;0;0.51;4.44;0;136;2.98;401;388;0;8;3.28;0;5;0;0.79;3.6;0;0;0.36;0.11;6.84;1.07;0.23;45;0
1.2;Riz et graines crus;9003;Ble de Khorasan. cru;1440;11.1;14.5;59.5;2.13;7.74;51.7;11.1;0;1.67;0;0;0.2;0.21;0.62;0;0;0;0;0;0;0.18;0.012;0;0;0.048;0;0;0;0;0.013;22;0;0.51;3.77;0;130;2.74;364;403;0;5;3.68;0;5;0;0.61;1.8;0;0;0.57;0.18;6.38;0.95;0.26;0;0
1.2;Riz et graines crus;9010;Ble tendre entier ou froment. cru;1530;12;11.5;71.3;2.6;3.3;62.5;1.7;0;0.89;0;0;0.6;0.29;1.59;0;0;0;0;0;0.0014;0.26;0;0;0.81;0;0;0;0;0;0.005;35;0;0;3.3;0;0;0;304;397;0;2;2.6;0;0;0;1.44;0;0;0;0.42;0.14;5.4;0;0.27;41;0
1.2;Riz et graines crus;9011;Ble germe. cru;897;47.8;7.49;41.4;1.27;0;0;1.1;0;0.96;0;0;0.21;0.15;0.56;0;0;0;0;0;0;0.19;0.012;0;0;0;0;0;0;0;0.04;28;0;0.26;2.14;0;82;1.86;200;169;0;16;1.65;0;0;0;0;0;0;2.6;0.23;0.16;3.09;0.95;0.27;38;0
1.2;Riz et graines crus;9060;Ble dur entier. cru;1450;10.7;12.1;62.4;2.24;3.17;59.2;11;0;1.64;0;0;0.37;0.29;0.95;0;0;0;0;0;0.003;0.34;0.019;0.22;0.86;0.06;0.003;0;0;0;0.0088;30.2;0;0.44;3.51;2.7;130;3.31;390;408;4.1;3.5;3.48;0;0;0;1.4;30;0;0;0.38;0.12;6.17;1.02;0.39;32;0
1.2;Riz et graines crus;9080;Ble dur precuit. entier. cru;1520;8.87;12.1;70.4;1.66;1.41;0;5.74;0;1.29;0;0;0.72;0.82;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.37;0.029;55;0;0.4;0;0;50;3.4;238;950;0;11.5;0;0;0;0;22;0;0;0;2.01;0;8.4;0;0.3;331;0
1.2;Riz et graines crus;9100;Riz blanc. cru;1500;12.3;7.04;78.2;0.91;0.16;78.1;1.04;0;0.49;0;0;0.2;0.27;0.3;0.005;0.005;0.005;0.0033;0.0033;0.0062;0.17;0.019;0.27;0.29;0.0085;0.01;0.005;0.005;0.9;0.0061;33;0;0.19;1.57;5.1;31.3;0.99;118;121;6;2.28;1.41;0;0;0;0.08;0.1;0;0;0.15;0.042;1.92;0.88;0.13;19.3;0
1.2;Riz et graines crus;9101;Riz blanc etuve. cru;1510;11.3;7.11;78.6;0.98;0.4;72.1;1.32;0;0.7;0;0;0.21;0.3;0.34;0.005;0.005;0.005;0.0033;0.0033;0.0076;0.18;0.019;0.3;0.34;0.0089;0.01;0.005;0.005;0;0.012;101;0;0.24;0.97;5.1;31;2.47;162;162;6;5.08;1.36;0;0;0;0.04;0.1;0;0;0.42;0.043;5.02;0.79;0.43;13;0
1.2;Riz et graines crus;9102;Riz complet. cru;1480;12.6;7.02;71.4;2.8;0.55;70.8;5;0;1.2;0;0;0.58;0.86;1.01;0;0;0;0;0.0024;0.015;0.51;0.053;0.71;0.98;0.026;0;0;0;0;0.01;11.1;62;0.27;1;10;118;2.2;163;219;5;4.1;2;0;50;0;0.2;1.9;0;0;0.26;0.05;0.05;1.1;0.09;48;0
1.2;Riz et graines crus;9108;Riz sauvage. cru;1460;11.5;11.1;69.2;0.94;2.5;64;5.9;0;1.3;0;0;0.14;0.14;0.59;0;0;0;0;0;0;0.13;0.0096;0;0;0;0;0;0;0;0.0068;6.95;78;1;1;10;90.1;1.1;317;298;5;2.7;3.7;0;50;0;0.1;1.9;0;0;0.41;0.15;3.5;1.1;0.24;49;0
1.2;Riz et graines crus;9109;Riz rouge. cru;1490;12.4;7.97;70.6;3;0;58.4;4.5;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.028;13.5;61;1;1;10;130;2;372;288;5;11;2.1;0;50;0;0.7;0;0;0;0.26;0.06;1.7;1.1;0.12;15;0
1.2;Riz et graines crus;9119;Riz thai ou basmati. cru;1500;12.5;7.81;77.6;0.84;0.17;0;0.92;0;0.34;0;0;0.19;0.3;0.23;0.01;0.01;0.01;0.01;0.01;0.01;0.17;0.022;0.3;0.22;0.0068;0.01;0.01;0.01;0;0.014;0;0;0;0;0;0;0;0;0;0;6.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;Riz et graines crus;9121;Riz. melange de varietes (blanc. complet. rouge. sauvage. etc.). cru;1500;12.2;7.32;78;1;0.5;0;1.5;0;0.025;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.025;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;Riz et graines crus;9200;Mais entier. cru;1470;13.6;8.1;67.7;3.7;1.6;64.1;5.7;0;1.2;0;0;0;0;0;0;0;0;0;0;0.0032;0.35;0.057;0;1.8;0.032;0;0;0;0;0.01;40;50;0.2;3.2;0;100;0.8;260;320;10;4;1.9;0;0;0;1.7;0;0;0;0.4;0.14;2.1;0.6;0.5;0;0
1.2;Riz et graines crus;9310;Avoine. crue;1550;10.3;14.6;59.6;5.43;1.2;52.6;8.25;0;1.85;0;0;1.05;1.88;2.18;0;0;0;0;0.024;0.012;0.82;0.053;1.88;1.65;0.073;0;0;0;0;0.012;66;70;0.52;4.72;0;148;4.34;445;406;9;4.67;3.51;0;0;0;1.09;0;0;0;0.68;0.16;0.96;1.35;0.12;56;0
1.2;Riz et graines crus;9320;Orge entiere. crue;1370;11.4;11;56.1;2.05;1.45;52.2;17.3;0;2.25;0;0;0.48;0.3;1.11;0;0;0;0;0.006;0.0056;0.36;0.018;0;0.82;0.073;0;0;0;0;0.028;51.5;110;0.7;9.7;0;122;1.77;302;466;11;11;2.89;0;13;0;0.57;2.2;0;0;0.52;0.22;4.95;0.49;0.36;19;0
1.2;Riz et graines crus;9321;Orge perlee. crue;1460;10.1;9.91;68.6;1.16;0.8;0;9.1;0;1.11;0;0;0.24;0.15;0.56;0;0;0;0;0.003;0.006;0.21;0.008;0;0;0;0;0;0;0;0.023;29;0;0.42;2.5;0;79;1.32;221;280;0;9;2.13;0;13;0;0.02;2.2;0;0;0.19;0.11;4.6;0.28;0.26;23;0
1.2;Riz et graines crus;9330;Mil entier. cru;1520;8.68;11;64.3;4.21;0;0;8.5;0;3.27;0;0;0.72;0.77;2.13;0;0;0;0;0.003;1E-14;0.53;0.15;0.74;2.02;0.12;0;0;0;0;0.0087;8.5;0;0.66;3.61;5;109;1.32;270;203;16;3.47;2.25;0;0;0;0.05;0.9;0;0;0.42;0.29;4.72;0.85;0.51;66.7;0
1.2;Riz et graines crus;9340;Quinoa. cru;1530;11.3;13.1;60;5.94;0;52.2;7;0;2.64;0;0;0.65;1.57;2.82;0;0;0;0;0;0;0.57;0.043;1.53;2.21;0.13;0;0;0.047;0;0.033;53.5;0;0.71;6.91;0;204;2.15;434;652;0;13;3.2;0;8;0;2.44;0;0;0;0.28;0.36;2.23;0.91;0.36;117;0
1.2;Riz et graines crus;9345;Amarante. crue;1520;10.6;14;54.8;6.77;1.57;53.2;11;0;2.96;0;0;1.56;1.56;2.83;0;0;0;0;0;0.011;1.22;0.22;1.43;2.79;0.049;0;0;0;0;0.031;156;0;0.65;7.6;0;257;2.8;506;437;0;12.5;3.03;0;1;0;1.19;0;0;4.2;0.098;0.2;1.1;1.25;0.41;65.5;0
1.2;Riz et graines crus;9360;Sorgho entier. cru;1460;13;10;65.7;3.18;1.81;63.9;6.7;0;1.42;0;0;0.42;0.78;1.08;0;0;0;0;0.00091;0.0028;0.37;0.045;0.11;0.71;0.054;0;0;0;0;0.028;21.5;60;0.34;4.58;0;143;1.25;285;362;43;11;1.79;0;0;0;0.5;0;0;0;0.37;0.11;3.69;0.78;0.44;20;0
1.2;Riz et graines crus;9380;Sarrasin entier. cru;1490;9.97;13;63.5;3.5;0;0;8;0;2;0;0;0.74;1.04;1.04;0;0;0.035;0.018;0.01;0.025;0.45;0.047;0.99;0.96;0.078;0;0;0;0;0.0025;16.9;0;1.1;2.2;2.5;231;1.3;357;460;0;1;2.4;0;0;0;0;0;0;0;0.1;0.43;7.02;1.23;0.21;30;0
1.2;Riz et graines crus;9390;Seigle entier. cru;1390;11.3;9.35;61;1.71;2.09;53.8;15;0;1.69;0;0;0.25;0.22;0.96;0;0;0;0;0;0.0023;0.21;0.0052;0.22;0.73;0.096;0;0;0;0;0.0073;50.9;60;0.4;4.11;2.7;106;3.63;331;463;4.25;2.9;2.58;0;7;0;1;5.9;0;0;0.36;0.2;2.62;1.33;0.26;47;0
1.2;Riz et graines crus;9690;Boulgour de ble. cru;1490;9.05;11.5;66.8;1.71;0.41;60;9.57;0;1.31;0;0;0.27;0.21;0.76;0;0;0.013;0;0;0.001;0.24;0.014;0.21;0.71;0.05;0.0031;0;0;0;0.043;34.3;0;0.33;2.46;2.7;140;3.32;285;410;4.1;17;2.37;0;5;0;0.73;16;0;0;0.23;0.12;5.11;1.07;0.35;24;0
1.2;Riz et graines crus;51510;Frik (ble dur immature concasse). cru;1360;11.3;9.62;55.8;2.25;0;30.2;19.3;0;1.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011;50.3;89;1;5.2;10;114;3.6;321;512;5;4.2;3.6;0;50;0;0.1;0;0;0;0.24;0.09;3.49;0.82;0.14;68.2;0
1.3;Pates et semoules crues;9610;Semoule de ble dur. crue;1500;12.1;10.9;71.4;1.36;1;0;3.37;0;0.78;0;0;0.21;0.14;0.52;0;0;0;0;0;0.002;0.15;0.014;0.14;0.49;0.034;0.0017;0;0;0;0.003;16.9;0;0.3;0.92;2.7;26.5;2.31;102;152;1;1.2;2.18;0;0;0;0.1;30;0;0;0.25;0.063;2.16;0.54;0.094;57;0
1.3;Pates et semoules crues;9612;Melange de cereales et legumineuses. cru;1490;0;13.7;59;4;4.5;0;11;0;1.06;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.99;0;0;0;0;0;70;0;0;0;0;397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;Pates et semoules crues;9614;Polenta ou semoule de mais. precuite. seche;1480;12.6;7.88;74;1.8;0;68;3.2;0;0.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0043;1.55;94;0;1;10;35;1;104;144;5;1.7;1;0;50;0;1;0;0;0;0.07;0.06;0.05;0.39;0.08;35;0
1.3;Pates et semoules crues;9681;Couscous (semoule de ble dur roulee precuite a la vapeur). crue;1530;9.95;12.3;71;1.59;3.57;64.7;4.1;0;1.01;0;0;0.31;0.22;0.59;0.01;0.01;0.01;0.01;0.01;0.001;0.2;0.018;0.22;0.56;0.032;0;0;0.01;0.21;0.023;24;0;0.25;1.08;0;44;0.78;185;166;0;9.13;0.83;0;0;0;0;0;0;0;0.16;0.078;4;1.24;0.11;20;0
1.3;Pates et semoules crues;9810;Pates seches standard. crues;1480;14.3;17;63.1;1.79;2.07;61;2.99;0;0.8;0;0;0.37;0.39;0.76;0;0;0;0;0;0;0.24;0.017;0.18;0.72;0.038;0;0;0;0.29;0.031;20.5;0;0.27;1.5;1.2;57.5;0.75;165;219;4.8;9.2;1.31;0;0;0;0.2;0.1;0;0;0.12;0.048;1.35;0.37;0.096;23.7;0
1.3;Pates et semoules crues;9815;Pates fraches. aux ufs. crues;1200;0;10.1;53.8;1.87;2.54;0;3.17;0;0.63;0;0;0.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.6;0.35;35;0;0;1.29;0;0;0;0;0;0;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;Pates et semoules crues;9821;Pates seches. aux ufs. crues;1610;9.06;14;67.9;4.72;2.19;0;3.15;0;1.12;0;0;1.34;1.25;1.33;0;0;0;0;0;0.01;0.94;0.23;0;0;0.058;0;0;0;86.3;0.085;35;0;0.3;1.9;7.1;58;0.86;241;244;32.5;34;1.92;17;2;0.3;0.37;0.5;0;0;0.17;0.09;2.1;0.91;0.22;29;0.29
1.3;Pates et semoules crues;9863;Nouilles asiatiques aromatisees. deshydratees;1510;0;11.2;69.6;2.37;0.5;0;4;0;0.99;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.99;0;0;0;0;0;0;0;0;0;0;397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;Pates et semoules crues;9870;Pates seches. au ble complet. crues;1490;11;11.8;67.6;2.2;1.8;65.1;6.1;0;1.3;0;0;0.38;0.25;0.92;0;0;0;0;0;0.002;0.31;0.014;0.25;0.86;0.062;0;0;0;0;0.016;32.1;64;1;3.2;10;82.2;1.8;160;378;5.8;6.2;1.9;0;0;0;0.1;0;0;0;0.25;0.07;0.87;0.66;0.13;22.4;0
1.3;Pates et semoules crues;9874;Pates seches. sans gluten. crues;1510;0;6.17;79;1.24;0.38;0;1.22;0;0.4;0;0;0.24;0.29;0.45;0.01;0.01;0.01;0.089;0.01;0.01;0.11;0.035;0.25;0.35;0.01;0;0;0.01;0;0.0078;0;0;0;0;0;0;0;0;0;0;3.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;Pates et semoules crues;9900;Vermicelle de riz. seche;1550;9.5;7.44;80.5;1;0;63;1.2;0;0.34;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03;14.2;48;1;1;10;13;1;60;20.3;5;12;1.3;0;50;0;0.1;0;0;0;0.05;0.05;0.05;0.22;0.05;10;0
1.3;Pates et semoules crues;9902;Vermicelle de soja. seche;1460;13.1;0.57;84.7;0.14;1.38;77;1.6;0;0.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.039;25.2;47;1;1;10;9.6;1;40;13.2;5;15.6;1;0;50;0;0.1;0;0;0;0.05;0.05;0.05;1.1;0.05;7;0
1.3;Pates et semoules crues;26264;Gnocchi a la pomme de terre. cru;744;0;4.66;35;1.42;3.18;0;2.2;0;1.48;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.18;0;0;0;0;0;0;0;0;0;0;468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;Pates et semoules crues;26265;Gnocchi a la semoule. cru;846;0;6.2;37;2.6;9.9;0;1.9;0;1.83;0;0;0.34;0.47;0.94;0;0;0;0;0;0;0;0;0;0.93;0.0095;0;0;0;0;2.21;0;0;0;0;0;0;0;0;0;0;870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;Riz et graines cuits;9081;Ble dur precuit. grains entiers. cuit. non sale;612;63.4;5.25;27.7;0.72;0.57;27.1;2.4;0;0.57;0;0;0.3;0.33;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16;0.043;18.9;55;0.29;0.72;1;28.2;0.51;116;102;10;17;0.48;0;0;0;0.1;0;0;0;0.05;0.05;0.66;0.27;0.05;13.9;0
1.4;Riz et graines cuits;9103;Riz complet. cuit. non sale;668;60.4;3.21;32.6;1;0.2;30.4;2.3;0;0.44;0;0;0.17;0.31;0.31;0.01;0.01;0.01;0.01;0.01;0.01;0.15;0.018;0.31;0.29;0.016;0.01;0.01;0.01;1.16;0.01;13;3.69;0.1;0.32;20;49;1.1;120;43;20;5;0.62;0;5;0;0.08;0.8;0;0.5;0.065;0.01;0.25;0.38;0.049;29.4;0.094
